arandr,G,gui adjustment of screen,
atool,R,ranger archive previews,
base-devel,G,sudo and compilation software,
biber,X,LaTeX references,
compton,G,transparency and removing tearing,
dosfstools,U,file system compatibility,
exfat-utils,U,file system compatibility,
feh,G,image viewer,
ffmpeg,U,audio/video recording and splicing,
git,R,dling config repos,
highlight,R,ranger previews highlighted,
htop-vim-git,D,system info,
i3-gaps,G,window manager,
i3blocks,G,status bar,
i3lock,G,screen lock,
imagemagick,U,"image conversion and modification, lock screen",
libcaca,R,,
lightdm,G,,
lightdm-gtk-greeter,G,,
mediainfo,R,ranger audio/video info preview,
mpv,U,video/gif player,
mupdf,T,pdf reader,
network-manager-applet,G,GUI wifi manager,
networkmanager,G,network manager,
newsboat,R,RSS reader,
noto-fonts-emoji,G,emoji fonts,
ntfs-3g,U,file system compatibility,
packer,G,AUR manager,
pamixer,U,audio system control,
pandoc,U,file conversion,
pandoc-citeproc,U,citations through pandoc,
poppler,R,ranger pdf previews,
projectm-pulseaudio,U,music/audio visualizer,
pulseaudio,U,audio system,
pulseaudio-alsa,U,audio system,
pymol,M,,
qutebrowser,R,default browser,
r,R,statistics and calculator,
ranger,R,file manager,
rofi,G,app launcher,
rsync,G,sync and copy tool,
scrot,U,screenshots,
texlive-lang,X,LaTeX packages,
texlive-most,X,LaTeX packages,
ttf-inconsolata,G,mono font,
ttf-linux-libertine,G,non-mono fonts,
unclutter-xfixes-git,G,hides mouse if idle,
unrar,G,extraction,
unzip,G,extraction,
urlview,R,url parser for terminal apps,
vim,G,text editor,
vim-live-latex-preview,X,latex preview,
vim-pathogen,U,vim package manager,
w3m,G,,
wget,G,,
xcape,G,for double mapping of escape,
xdotool,G,moving windows on command,
xorg-server,G,graphical environment,
xorg-xinit,G,graphical environment,
youtube-dl,U,downloads youtube videos,
youtube-viewer,U,watch YT videos without browser,
