arandr,,gui adjustment of screen,
atool,r,ranger archive previews,
base-devel,,sudo and compilation software,
biber,X,LaTeX references,
compton,,transparency and removing tearing,
dmenu,,command runner,
dosfstools,,file system compatibility,
exfat-utils,,file system compatibility,
feh,,image viewer,
ffmpeg,,audio/video recording and splicing,
git,,dling config repos,
highlight,r,ranger previews highlighted,
htop-vim-git,D,system info,
i3-gaps,,window manager,
i3blocks,,status bar,
i3lock,,screen lock,
imagemagick,D,"image conversion and modification, lock screen",
libcaca,r,,
mediainfo,r,ranger audio/video info preview,
mpv,,video/gif player,
mupdf,,pdf reader,
network-manager-applet,,GUI wifi manager,
networkmanager,,network manager,
newsboat,,RSS reader,
noto-fonts-emoji,,emoji fonts,
ntfs-3g,,file system compatibility,
packer,,AUR manager,
pamixer,,audio system control,
pandoc,P,file conversion,
pandoc-citeproc,P,citations through pandoc,
poppler,r,ranger pdf previews,
projectm-pulseaudio,D,music/audio visualizer,
pulseaudio,,audio system,
pulseaudio-alsa,,audio system,
qutebrowser,,default browser,
r,P,statistics and calculator,
ranger,r,file manager,
rofi,,,
rsync,,,
scrot,D,screenshots,
texlive-lang,X,LaTeX packages,
texlive-most,X,LaTeX packages,
ttf-inconsolata,,mono font,
ttf-linux-libertine,,non-mono fonts,
unclutter-xfixes-git,,hides mouse if idle,
unrar,,extraction,
unzip,,extraction,
urlview,,url parser for terminal apps,
vim,,text editor,
vim-live-latex-preview,X,latex preview,
vim-pathogen,,vim package manager,
w3m,?,,
wget,,,
xcape,,for double mapping of escape,
xdotool,,moving windows on command,
xorg-server,,graphical environment,
xorg-xinit,,graphical environment,
youtube-dl,,downloads youtube videos,
youtube-viewer,,watch YT videos without browser,
